data,horario,codigo,cpf
06/03/2024,15:00,2518,15609049288
18/04/2024,14:00,4502,15609049288
13/03/2024,15:00,1005,19421745108
24/04/2024,10:30,1575,19421745108
08/05/2024,14:30,3306,19421745108
11/03/2024,10:00,2518,19421745108
03/04/2024,16:30,1575,02682606580
06/05/2024,10:00,2518,02682606580
03/06/2024,09:00,4502,02682606580
03/04/2024,12:00,1005,32783737680
02/02/2024,11:00,1575,51594598517
18/03/2024,13:00,1575,90337599386
24/04/2024,09:00,1005,85138405063
08/05/2024,11:00,1575,85138405063
28/02/2024,10:10,4502,79191710286
13/05/2024,09:00,2518,79191710286
18/04/2024,16:00,4502,79191710286
08/04/2024,10:00,4502,85138405063
11/03/2024,11:50,1005,89197524573
10/04/2024,09:00,2518,90337599386
01/07/2024,10:00,2518,89197524573
01/07/2025,10:00,2518,89197524573
11/03/2024,10:00,1005,31241651582
03/04/2024,10:00,1005,31241651582
08/05/2024,09:00,1575,31241651582
06/05/2024,14:30,1005,43459504439
03/04/2024,15:20,1575,43459504439
06/03/2024,12:00,2518,70912581468
15/05/2024,16:00,1005,70912581468
11/03/2024,11:00,1005,70912581468
11/03/2024,13:20,3306,99576379261
05/06/2024,14:00,1005,99576379261
13/03/2024,09:00,3306,24420201002
15/04/2024,14:00,4502,24420201002
15/02/2024,15:00,4502,32783737680
03/04/2024,11:00,1005,65402963240
06/04/2024,16:00,1575,65402963240
10/04/2024,10:00,2518,65402963240
24/04/2024,10:00,2518,65402963240
18/03/2024,14:00,1575,34137436096
10/04/2024,11:00,2518,34137436096
18/04/2024,09:00,2518,51594598517
02/02/2024,09:30,1575,64501943432
10/04/2024,14:00,1575,64501943432
15/04/2024,14:00,3306,53635309400
15/05/2024,14:00,3306,53635309400
06/03/2024,09:00,2518,43459504439
20/05/2024,11:00,4502,43459504439
03/06/2024,14:00,2518,23123123123
01/07/2024,09:00,2518,42142142142
29/04/2024,15:30,1005,12112112112
03/06/2024,10:00,2518,53635309400
26/04/2024,14:00,3306,14714714714
26/06/2024,09:00,3306,14514514514
24/04/2024,14:30,4502,14514514514
29/04/2024,13:00,3306,14614614614
05/06/2024,11:00,4502,72306611157
23/02/2024,08:00,3306,72306611157
18/04/2024,10:00,2518,72306611157
28/02/2024,13:40,4502,75446180704
08/04/2024,09:00,4502,75446180704
18/03/2024,15:00,4502,64501943432
03/04/2024,14:00,1005,51594598517
13/05/2024,11:00,1575,65402963240
06/05/2024,14:00,3306,64501943432
08/04/2024,11:00,4502,70912581468
11/03/2024,16:00,2518,31241651582
15/02/2024,16:00,4502,24420201002
04/03/2024,14:00,3306,65402963240
04/03/2024,18:30,2518,19421745108
28/02/2024,12:00,4502,85138405063
15/04/2024,10:00,3306,02682606580
13/03/2024,16:30,1575,02682606580
04/03/2024,16:30,3306,34137436096
11/03/2024,13:40,1575,19421745108
18/04/2024,14:00,1575,34137436096
06/03/2024,13:40,1575,19421745108
03/06/2024,14:00,3306,64501943432
13/03/2024,14:00,1005,51594598517
08/04/2024,10:00,4502,85138405063
18/03/2024,15:00,4502,64501943432
03/08/2024,14:00,3306,64501943432
