nome,cpf
Sofia,64501943432
Mariane,99576379261
Marcio,24420201002
Pedro,51594598517
Mateus,79191710286
Gabriel,65402963240
Juliana,19421745108
Camila,31241651582
Sara,53635309400
Gabriela,70912581468
Isabela,32783737680
Lucas,89197524573
Bruno,43459504439
Leticia,72306611157
Filomena,02682606580
Rita,15609049288
Larissa,85138405063
Giovana,75446180704
Eduardo,90337599386
Stella,34137436096
Lorena,14514514514
Lara,14614614614
Teresa,14714714714
Fernando,13113113113
Sabrina,12112112112
Marilia,11211212211
Paulo,21121121121
Ricardo,22122122122
Gilson,23123123123
Marcelo,32132132132
Reginaldo,14514514514
Jonas,14614614614
Adriano,14714714714
Alceu,42142142142
Josefa,42142143142
